stop_loss,mr_fixed_return,mr_fixed_sharpe,mr_fixed_maxdd,mr_fixed_winrate,mr_stops_pct,tf_fixed_return,tf_fixed_sharpe,tf_fixed_maxdd,tf_fixed_winrate,tf_stops_pct,mr_dynamic_return,mr_dynamic_equity,tf_dynamic_return,tf_dynamic_equity
0.5,532.8395257695937,8.418261797851454,-1.847024954841461,18.994904234756632,79.12280701754386,465.35806269246496,7.345351737571532,-3.325740896866028,16.482164821648215,81.61403508771929,564581.2403728254,5646812.403728254,184704.91589107536,1848049.1589107534
1.0,472.63528956429354,7.182244789926986,-2.8335687274622168,23.897381830961166,73.26315789473684,422.7933135750144,6.225832860306189,-6.08022712960488,21.75364610788965,75.40350877192982,205160.36035998855,2052603.6035998852,88500.88122326987,886008.8122326987
1.5,428.7313088362186,6.2710452292184975,-3.549942938390111,28.114566859954316,67.45614035087719,369.71242305839127,5.1479197223493625,-7.788592378632626,25.9708311368828,69.26315789473684,97398.95706637707,974989.5706637707,35672.04084573128,357720.40845731285
2.0,395.4491193924727,5.547055780655807,-4.545101157841222,31.804603760323317,61.71929824561404,360.74153407854885,4.816981134912135,-8.199180327026934,30.100158144438588,62.8421052631579,54902.224559586044,550022.2455958604,30018.51456051121,301185.1456051121
2.5,350.99271662308894,4.71013276577137,-4.999594646613822,34.31734317343174,56.719298245614034,343.7433244683173,4.415242717901708,-8.428519172240371,33.33333333333333,57.631578947368425,25628.690006897854,257286.90006897855,22097.060202019416,221970.60202019417
3.0,328.5670481393311,4.285124469206777,-5.783910728053974,36.88279739940257,52.0,295.08093218874245,3.7236729202785837,-9.784635930798554,35.54735547355474,52.877192982456144,17337.497534109498,174374.975341095,9686.886844149438,97868.86844149437
4.0,298.78259334492355,3.7005323043048537,-7.644837141556306,40.94183798980847,43.56140350877193,243.5898897761445,2.6841718717537852,-11.101476789129219,38.95624670532419,44.526315789473685,10197.73960634689,102977.39606346888,3713.2667806392005,38132.667806392004
5.0,256.3501392333347,3.1046803453626253,-10.807807330148842,43.419434194341946,36.35087719298246,212.65777467585255,2.270734432484238,-11.25032681029338,41.486557722720086,36.64912280701754,4909.028189765478,50090.28189765478,2120.2532669110747,22202.532669110744
7.5,162.06161401448858,1.8501892945365772,-17.663572294234818,46.63503777894922,23.385964912280702,183.4126025836688,1.868467181801458,-15.762072981152997,45.03602178878931,22.50877192982456,899.0176481322379,9990.17648132238,1202.8341572778918,13028.341572778918
10.0,111.43313950145011,1.2281088264045121,-25.83524771150677,48.02319451765946,15.631578947368421,150.0353342996472,1.481539614638135,-22.19987334540336,46.40660692321209,14.701754385964913,317.38559011034965,4173.855901103497,623.9924597881002,7239.924597881002
None,-83.09300970527099,-0.7118561572517252,-114.74161886780234,49.65735371639431,0.0,-19.344990294729303,-0.16572867016742943,-61.00964056019282,47.408188367597965,0.0,-88.36126403427971,116.38735965720298,-64.58262620229883,354.17373797701185
