sample,regime,baseline_ret,baseline_sharpe,baseline_mdd,baseline_active,variant_ret,variant_sharpe,variant_mdd,variant_active,delta_ret,delta_sharpe,bars
FULL,ALL,0.17821212106393425,0.3508880243866312,-0.45705077574675623,0.3446969696969697,0.43224250238202777,0.5010990703983055,-0.4683067884744506,0.3020833333333333,0.2540303813180935,0.1502110460116743,1056
FULL,high,0.187657801066752,0.60885888585368,-0.44542894982873804,0.3595166163141994,0.2127883758170157,0.6478297937552945,-0.44542894982873793,0.3474320241691843,0.0251305747502637,0.038970907901614504,331
FULL,low,0.22412699055588337,0.7730538463779485,-0.2149812227807647,0.41954022988505746,0.3507256613176799,1.0640143336692693,-0.20458755762227,0.41954022988505746,0.12659867076179654,0.29096048729132085,348
FULL,mid,0.006959216264120549,0.2231299036403425,-0.20489319698303254,0.26126126126126126,-0.12569214348533597,-0.3650694642520735,-0.2677974408215543,0.26126126126126126,-0.13265135974945652,-0.588199367892416,222
FULL,unknown,-0.19518918146861042,-0.856380096974294,-0.3650214557117616,0.2645161290322581,0.0,,0.0,0.0,0.19518918146861042,0.856380096974294,155
OOS_2024_PLUS,ALL,-0.16511935168227354,0.017450304348730048,-0.4454289498287376,0.37410071942446044,-0.06911475798156796,0.15780664819366805,-0.45692589746269696,0.37410071942446044,0.09600459370070558,0.140356343844938,556
OOS_2024_PLUS,high,-0.08225883752719076,0.12873580222193234,-0.44517928050496536,0.3761467889908257,0.014200657514914283,0.3700883423037092,-0.44517928050496536,0.3761467889908257,0.09645949504210505,0.24135254008177684,218
OOS_2024_PLUS,low,0.0015780049937788032,0.1842015912098283,-0.21498122278076448,0.4336734693877551,0.1051607583148888,0.6950542296485226,-0.20458755762227,0.4336734693877551,0.10358275332111,0.5108526384386943,196
OOS_2024_PLUS,mid,-0.0917207245012639,-0.5902771208095928,-0.2048931969830322,0.2887323943661972,-0.16948629848521968,-1.2873472487446649,-0.24833681141163888,0.2887323943661972,-0.07776557398395578,-0.6970701279350721,142
OOS_SPLIT_DATE,ALL,-0.10886069226922301,-0.4488741795719952,-0.17967083495916725,0.4481132075471698,-0.0015791560688406259,0.15474891203567753,-0.21576382795137683,0.4481132075471698,0.10728153620038239,0.6036230916076728,212
OOS_SPLIT_DATE,high,-0.14815952911359742,-6.317635365605799,-0.044778903846227514,0.8461538461538461,-0.14815952911359742,-6.317635365605799,-0.044778903846227514,0.8461538461538461,0.0,0.0,13
OOS_SPLIT_DATE,low,0.05571231651270403,0.5637960689318766,-0.1493949190662044,0.4339622641509434,0.16489361633575106,1.3157944892677464,-0.14665823518148413,0.4339622641509434,0.10918129982304703,0.7519984203358698,159
OOS_SPLIT_DATE,mid,-0.009072815420350988,-0.2878868837804799,-0.06290778108738104,0.375,0.006164764202406081,0.3655994075930213,-0.07817348405564117,0.375,0.01523757962275707,0.6534862913735011,40
