sample,regime,feature,target,corr,n
FULL,high,rolling_beta,a_ret,-0.07511311378191457,331
FULL,high,rolling_beta,b_ret,-0.08692269711033232,331
FULL,high,rolling_beta,spread,0.3227744232908688,331
FULL,high,rolling_beta,zscore,0.266855982265064,331
FULL,high,rolling_beta,ou_kappa,0.3545127129611006,330
FULL,high,rolling_beta,z_reversion_1d,-0.013619028037012468,331
FULL,high,delta_beta,a_ret,-0.01847592989713206,331
FULL,high,delta_beta,b_ret,-0.009973503918738117,331
FULL,high,delta_beta,spread,-0.03817823901525339,331
FULL,high,delta_beta,zscore,0.13711392408046502,331
FULL,high,delta_beta,ou_kappa,0.07331747258194778,330
FULL,high,delta_beta,z_reversion_1d,-0.042136358835165616,331
FULL,high,beta_adjustment,a_ret,-0.20557137431519965,331
FULL,high,beta_adjustment,b_ret,-0.15852107295724743,331
FULL,high,beta_adjustment,spread,0.012908735183379729,331
FULL,high,beta_adjustment,zscore,-0.010101805987175754,331
FULL,high,beta_adjustment,ou_kappa,0.03835386627554919,330
FULL,high,beta_adjustment,z_reversion_1d,-0.12654094680053204,331
FULL,mid,rolling_beta,a_ret,0.038265633608225075,222
FULL,mid,rolling_beta,b_ret,0.026083090377190737,222
FULL,mid,rolling_beta,spread,0.6053036715772716,222
FULL,mid,rolling_beta,zscore,0.3510966517459137,222
FULL,mid,rolling_beta,ou_kappa,0.45005210076715035,222
FULL,mid,rolling_beta,z_reversion_1d,-0.030567509024785448,221
FULL,mid,delta_beta,a_ret,-0.073527422573075,222
FULL,mid,delta_beta,b_ret,-0.11336304838795334,222
FULL,mid,delta_beta,spread,0.007862928108927324,222
FULL,mid,delta_beta,zscore,0.011247740583227096,222
FULL,mid,delta_beta,ou_kappa,0.03392115811964132,222
FULL,mid,delta_beta,z_reversion_1d,-0.052859825814326,221
FULL,mid,beta_adjustment,a_ret,0.20955293807784509,222
FULL,mid,beta_adjustment,b_ret,0.2417007773824231,222
FULL,mid,beta_adjustment,spread,-0.01638078884366286,222
FULL,mid,beta_adjustment,zscore,0.031662336593836736,222
FULL,mid,beta_adjustment,ou_kappa,-0.06908568691073401,222
FULL,mid,beta_adjustment,z_reversion_1d,-0.05984330210898069,221
FULL,low,rolling_beta,a_ret,-0.07848482435492571,348
FULL,low,rolling_beta,b_ret,-0.05053414908521898,348
FULL,low,rolling_beta,spread,0.5178010657446993,348
FULL,low,rolling_beta,zscore,-0.06945328889014298,348
FULL,low,rolling_beta,ou_kappa,0.6976790310052106,348
FULL,low,rolling_beta,z_reversion_1d,0.008303371293621256,348
FULL,low,delta_beta,a_ret,0.05036304931677579,348
FULL,low,delta_beta,b_ret,-0.032693578109916153,348
FULL,low,delta_beta,spread,-0.01750001129323295,348
FULL,low,delta_beta,zscore,0.09995884654988092,348
FULL,low,delta_beta,ou_kappa,-0.02222111542768553,348
FULL,low,delta_beta,z_reversion_1d,-0.05742053324198178,348
FULL,low,beta_adjustment,a_ret,0.1366061118894128,348
FULL,low,beta_adjustment,b_ret,0.0177053236209983,348
FULL,low,beta_adjustment,spread,0.08938349947814583,348
FULL,low,beta_adjustment,zscore,0.010460432445038307,348
FULL,low,beta_adjustment,ou_kappa,0.013293991480285107,348
FULL,low,beta_adjustment,z_reversion_1d,0.0268379773008561,348
OOS_2024+,high,rolling_beta,a_ret,-0.057803165659314544,218
OOS_2024+,high,rolling_beta,b_ret,-0.10058532940626012,218
OOS_2024+,high,rolling_beta,spread,0.31621947464634564,218
OOS_2024+,high,rolling_beta,zscore,0.33870211945682555,218
OOS_2024+,high,rolling_beta,ou_kappa,0.5367152659778507,218
OOS_2024+,high,rolling_beta,z_reversion_1d,-0.007673782496786401,218
OOS_2024+,high,delta_beta,a_ret,-0.01917265224072878,218
OOS_2024+,high,delta_beta,b_ret,-0.006839713522071734,218
OOS_2024+,high,delta_beta,spread,-0.04511360929574108,218
OOS_2024+,high,delta_beta,zscore,0.06487304086833388,218
OOS_2024+,high,delta_beta,ou_kappa,0.03302794981772606,218
OOS_2024+,high,delta_beta,z_reversion_1d,-0.01108500646913452,218
OOS_2024+,high,beta_adjustment,a_ret,-0.19767238958319178,218
OOS_2024+,high,beta_adjustment,b_ret,-0.12651236274402358,218
OOS_2024+,high,beta_adjustment,spread,0.011408220376823318,218
OOS_2024+,high,beta_adjustment,zscore,-0.01911104470858938,218
OOS_2024+,high,beta_adjustment,ou_kappa,0.08798113052530922,218
OOS_2024+,high,beta_adjustment,z_reversion_1d,-0.12810506223705512,218
OOS_2024+,mid,rolling_beta,a_ret,0.05378397262070663,142
OOS_2024+,mid,rolling_beta,b_ret,0.06106425284050604,142
OOS_2024+,mid,rolling_beta,spread,0.6750876951230392,142
OOS_2024+,mid,rolling_beta,zscore,0.4157931333872385,142
OOS_2024+,mid,rolling_beta,ou_kappa,0.4206908892090907,142
OOS_2024+,mid,rolling_beta,z_reversion_1d,-0.06033910954004659,141
OOS_2024+,mid,delta_beta,a_ret,-0.07338853341280067,142
OOS_2024+,mid,delta_beta,b_ret,-0.11384684936646812,142
OOS_2024+,mid,delta_beta,spread,-0.022415083808850864,142
OOS_2024+,mid,delta_beta,zscore,0.007994144462105056,142
OOS_2024+,mid,delta_beta,ou_kappa,0.02958062955746806,142
OOS_2024+,mid,delta_beta,z_reversion_1d,-0.0892696882209043,141
OOS_2024+,mid,beta_adjustment,a_ret,0.2531203560923485,142
OOS_2024+,mid,beta_adjustment,b_ret,0.3257078444259471,142
OOS_2024+,mid,beta_adjustment,spread,-0.01435089347558031,142
OOS_2024+,mid,beta_adjustment,zscore,0.017814942901385133,142
OOS_2024+,mid,beta_adjustment,ou_kappa,-0.05558040278945524,142
OOS_2024+,mid,beta_adjustment,z_reversion_1d,-0.07709589268152568,141
OOS_2024+,low,rolling_beta,a_ret,0.024588272308930934,196
OOS_2024+,low,rolling_beta,b_ret,0.03430282758872642,196
OOS_2024+,low,rolling_beta,spread,0.546932791448781,196
OOS_2024+,low,rolling_beta,zscore,-0.14374466467044505,196
OOS_2024+,low,rolling_beta,ou_kappa,0.7696801410084199,196
OOS_2024+,low,rolling_beta,z_reversion_1d,0.03089270059290372,196
OOS_2024+,low,delta_beta,a_ret,0.08290277213867508,196
OOS_2024+,low,delta_beta,b_ret,-0.01266345422608537,196
OOS_2024+,low,delta_beta,spread,-0.06155841897245245,196
OOS_2024+,low,delta_beta,zscore,0.07095769921136573,196
OOS_2024+,low,delta_beta,ou_kappa,-0.03256117285584135,196
OOS_2024+,low,delta_beta,z_reversion_1d,-0.08830528097169894,196
OOS_2024+,low,beta_adjustment,a_ret,0.17795714319789527,196
OOS_2024+,low,beta_adjustment,b_ret,0.013508142035734604,196
OOS_2024+,low,beta_adjustment,spread,0.09370025692357971,196
OOS_2024+,low,beta_adjustment,zscore,-0.008655951702708319,196
OOS_2024+,low,beta_adjustment,ou_kappa,0.022638841941507185,196
OOS_2024+,low,beta_adjustment,z_reversion_1d,-0.05307662945061152,196
