variant,q,oos_ret,oos_sharpe,oos_mdd,delta_oos_ret_vs_baseline,delta_oos_sharpe_vs_baseline,full_ret,full_sharpe
high_contra_mid_momo_low_contra,1.0,-0.06911475798156974,0.15780664819366796,-0.4569258974626982,0.09600459370070591,0.1403563438449387,0.4322425023820271,0.5010990703983057
all_momentum,0.8,-0.08751416469932816,0.12937197357864338,-0.4746388939480687,0.0776051869829475,0.11192166922991412,-0.5424772506440875,-0.4415830164294698
mid_momo_low_contra,1.0,-0.036220170559380316,0.08772475784651763,-0.32138558714193466,0.12889918112289533,0.07027445349778837,0.25796114840957163,0.4118721745753803
high_off_mid_momo_low_contra,1.0,-0.036220170559380316,0.08772475784651763,-0.32138558714193466,0.12889918112289533,0.07027445349778837,0.25796114840957163,0.4118721745753803
all_contrarian,0.7,-0.12011318889860745,0.0533583685415332,-0.4211543681031604,0.0450061627836682,0.03590806419280394,0.30226729873475566,0.42553066924866734
high_contra_mid_momo_low_contra,0.9,-0.1371131422740164,0.046307936961654396,-0.44032468051109874,0.028006209408259264,0.028857632612925132,0.3276214688959054,0.4407366120429555
learned,1.0,-0.03792055787160298,0.04168055115617135,-0.2811274001915185,0.12719879381067267,0.024230246807442086,0.3757143289311229,0.5689310288569183
all_momentum,0.9,-0.14889381468243879,0.04025002943765654,-0.5099780516168362,0.016225536999836865,0.02279972508892728,-0.5549747812223733,-0.4506628727546439
all_contrarian,1.0,-0.16511935168227565,0.017450304348729264,-0.44542894982873826,0.0,0.0,0.35275673222457193,0.4545428889052873
high_contra_mid_momo_low_contra,0.8,-0.20998417776773193,-0.07578613285083705,-0.4737876174803365,-0.04486482608545628,-0.09323643719956631,0.28222914484405015,0.4119902081913873
all_momentum,1.0,-0.23489773956372717,-0.08095458337094807,-0.5979266909891334,-0.06977838788145152,-0.09840488771967734,-0.5999443938821021,-0.5150652643574183
all_contrarian,0.9,-0.22771103837706397,-0.10149585485407246,-0.399677306684042,-0.06259168669478832,-0.11894615920280173,0.2513394509302007,0.3913182288164948
all_momentum,0.7,-0.22533790936255338,-0.10928332974950125,-0.553990520170992,-0.06021855768027773,-0.12673363409823052,-0.540126461774485,-0.4792955121457613
high_contra_mid_momo_low_contra,0.7,-0.22961106770701534,-0.1306827464408065,-0.46034754712144244,-0.06449171602473969,-0.14813305078953576,0.0827008183681115,0.2638784029417211
all_contrarian,0.8,-0.27244262917482276,-0.18660489899298266,-0.43557054647524795,-0.10732327749254711,-0.20405520334171193,0.24357504003369246,0.3857368097661351
mid_momo_low_contra,0.9,-0.15241325153877272,-0.1944515351625203,-0.32138558714193466,0.01270610014350293,-0.21190183951124958,0.10630163331999198,0.2668529047532858
high_off_mid_momo_low_contra,0.9,-0.15241325153877272,-0.1944515351625203,-0.32138558714193466,0.01270610014350293,-0.21190183951124958,0.10630163331999198,0.2668529047532858
learned,0.9,-0.15478754654681226,-0.3091170658724479,-0.2811274001915185,0.01033180513546339,-0.32656737022117716,0.20860173525192027,0.39482708843937014
mid_momo_low_contra,0.8,-0.2239921885432049,-0.3964886320733017,-0.3619598817965983,-0.058872836860929256,-0.41393893642203095,0.031206804979565517,0.18336669701147523
high_off_mid_momo_low_contra,0.8,-0.2239921885432049,-0.3964886320733017,-0.3619598817965983,-0.058872836860929256,-0.41393893642203095,0.031206804979565517,0.18336669701147523
learned,0.8,-0.21511456474745838,-0.5258655179933158,-0.2811274001915185,-0.04999521306518273,-0.5433158223420451,0.14265172109477686,0.3155296947046073
learned,0.7,-0.2593343918750649,-0.6930044310430201,-0.2811274001915185,-0.09421504019278926,-0.7104547353917494,-0.06631934117128357,-0.006428895201591392
mid_momo_low_contra,0.7,-0.3191440449852653,-0.7766008578012501,-0.3705957105842308,-0.15402469330298962,-0.7940511621499794,-0.21656405620870034,-0.18477364534049256
high_off_mid_momo_low_contra,0.7,-0.3191440449852653,-0.7766008578012501,-0.3705957105842308,-0.15402469330298962,-0.7940511621499794,-0.21656405620870034,-0.18477364534049256
