scope,regime,horizon,corr,abs_corr,r2,pvalue_perm_two_sided,n
FULL,high,1,0.10343257930640974,0.10343257930640974,0.01069829846197674,0.064,331
FULL,high,3,0.11474968875028924,0.11474968875028924,0.013167491068288255,0.034,331
FULL,high,5,0.030335102501788065,0.030335102501788065,0.0009202184437939885,0.58125,331
FULL,high,10,-0.012746688402342884,0.012746688402342884,0.00016247806522642257,0.824,329
FULL,high,15,-0.019645054016757816,0.019645054016757816,0.0003859281473213324,0.71925,329
FULL,high,20,0.03747256670694301,0.03747256670694301,0.0014041932556062937,0.4945,328
FULL,mid,1,0.06734308031569182,0.06734308031569182,0.004535090466405719,0.3315,221
FULL,mid,3,0.06233622711377091,0.06233622711377091,0.0038858052107796277,0.36575,219
FULL,mid,5,0.01374718318896765,0.01374718318896765,0.00018898504563103478,0.83575,217
FULL,mid,10,-0.12909277572400715,0.12909277572400715,0.01666494474412881,0.05925,214
FULL,mid,15,-0.12162272601243641,0.12162272601243641,0.014792087482696177,0.07525,209
FULL,mid,20,-0.0873637530915484,0.0873637530915484,0.007632425354241032,0.198,205
FULL,low,1,-0.1707506844827745,0.1707506844827745,0.02915579625133601,0.00125,348
FULL,low,3,-0.24750713755348455,0.24750713755348455,0.061259783139919526,0.0,348
FULL,low,5,-0.29537436489125063,0.29537436489125063,0.08724601543490967,0.0,348
FULL,low,10,-0.2417905798003909,0.2417905798003909,0.0584626844802092,0.0,348
FULL,low,15,-0.13357343615502715,0.13357343615502715,0.017841862846261113,0.01375,348
FULL,low,20,-0.068756833523985,0.068756833523985,0.004727502156244987,0.2005,348
OOS_2024_PLUS,high,1,0.11132002234504537,0.11132002234504537,0.0123921473749014,0.0905,218
OOS_2024_PLUS,high,3,0.11010191065165506,0.11010191065165506,0.012122430729145034,0.09875,218
OOS_2024_PLUS,high,5,-0.025208286474461522,0.025208286474461522,0.0006354577069785198,0.71725,218
OOS_2024_PLUS,high,10,-0.09224030993436277,0.09224030993436277,0.008508274776787304,0.173,216
OOS_2024_PLUS,high,15,-0.05837238468310964,0.05837238468310964,0.0034073352935929326,0.3785,216
OOS_2024_PLUS,high,20,-0.006386481606272121,0.006386481606272121,4.078714730725214e-05,0.9265,215
OOS_2024_PLUS,mid,1,0.1723939123514597,0.1723939123514597,0.02971966101584277,0.0365,141
OOS_2024_PLUS,mid,3,0.30932795529839585,0.30932795529839585,0.09568378392908639,0.0,139
OOS_2024_PLUS,mid,5,0.3863048022266757,0.3863048022266757,0.14923140022339101,0.0,137
OOS_2024_PLUS,mid,10,0.2707594927947127,0.2707594927947127,0.07331070293845006,0.0015,134
OOS_2024_PLUS,mid,15,0.21119059111053903,0.21119059111053903,0.04460146577361889,0.01775,129
OOS_2024_PLUS,mid,20,0.18351255840585526,0.18351255840585526,0.03367685909266244,0.04125,125
OOS_2024_PLUS,low,1,-0.2952291866055483,0.2952291866055483,0.08716027262377367,0.00025,196
OOS_2024_PLUS,low,3,-0.40453625411883726,0.40453625411883726,0.16364958089650047,0.0,196
OOS_2024_PLUS,low,5,-0.436869856867378,0.436869856867378,0.19085527183932335,0.0,196
OOS_2024_PLUS,low,10,-0.4264922676283073,0.4264922676283073,0.18189565434673569,0.0,196
OOS_2024_PLUS,low,15,-0.33059236029047545,0.33059236029047545,0.10929130868242753,0.0,196
OOS_2024_PLUS,low,20,-0.31816938480331586,0.31816938480331586,0.10123175742612048,0.0,196
