scope,regime,horizon,entry_count,edge_mean,edge_ci95_lo,edge_ci95_hi,edge_significant_nonzero
FULL,high,5,59,-0.003002022532364682,-0.02362783527155136,0.01843319172139624,False
FULL,high,10,59,0.00814829265850693,-0.015336838583942991,0.03281433747606262,False
FULL,mid,5,30,0.0036751148150965893,-0.02840737785798238,0.035388504197501405,False
FULL,mid,10,30,0.02554588494827499,-0.007026354589853337,0.058007866887775164,False
FULL,low,5,80,0.02925207759859887,0.016333092380480585,0.04217855630745146,True
FULL,low,10,80,0.02817209362227977,0.013225705861135001,0.04347383494360052,True
OOS_2024_PLUS,high,5,46,0.002536622457918323,-0.02243332608570573,0.029206099817203967,False
OOS_2024_PLUS,high,10,46,0.01657932446631335,-0.012799016245322906,0.04706256861272057,False
OOS_2024_PLUS,mid,5,19,,,,False
OOS_2024_PLUS,mid,10,19,,,,False
OOS_2024_PLUS,low,5,52,0.028926307575996527,0.011731437987507767,0.04640697361430054,True
OOS_2024_PLUS,low,10,52,0.02857138334745909,0.009597836929446218,0.04842101469307534,True
